Город,Вуз,Специальность,код_специальности,Предметы_список,Проходной_балл_сумма,Мин_математика,Мин_русский,Мин_информатика,мин_физика,мин_биология,мин_химия,мин_иностранный_язык,мин_география,"мин_литература
",мин_история,мин_общество,описание,фото_вуз,фото_специальности,ссылка_вуз,ссылка_специальность
Ханты-Мансийск,ЮГУ,Туризм,43.03.02,"история, русский, общество/география",115,0,40,0,0,0,0,0,40,0,35,45,"Направление подготовки охватывает изучение и практическое применение всех аспектов туристической деятельности, включая организацию путешествий, управление туристическими ресурсами и развитие туристической инфраструктуры.",https://www.ugrasu.ru/upload/iblock/e4b/ddnhqo2dch3slu30u7q3iqe2mu8lfplr.jpg,https://avatars.mds.yandex.net/i?id=0ef24b365d1b9b89287cd32181596406_l-5307529-images-thumbs&n=13,https://www.ugrasu.ru,https://www.ugrasu.ru/university/education/higher-education/greenschool/43-03-02-turizm/
Ханты-Мансийск,ХМГМА,Лечебное дело,31.05.01,"биология, русский, химия",209,0,45,0,0,45,45,0,0,0,0,0,"Будущих квалифицированных врачей готовят на протяжении шести лет, после чего молодые люди смогут продолжить обучение в интернатуре и ординатуре, выбрав себе специализацию. Учебная программа по этой специальности очень насыщенна и состоит из лекционных занятий и практикумов, в том числе и в условиях стационара. Среди преподаваемых предметов можно выделить: отоларингологию, неврологию, психиатрию, гигиену, экономику здравоохранения и т.д. Студентов готовят не только успешно проводить диагностику и лечение заболеваний, но и заниматься просветительской и профилактической работой.",https://i.vuzopedia.ru/storage/app/uploads/public/650/30e/b45/65030eb45ac0f581105339.jpg,https://sun1-85.userapi.com/c858120/v858120647/78bde/ulMprYRPoag.jpg,https://hmgma.ru/about/Otchet/vvedenie.php#,https://hmgma.ru/priem/vo/spec-list/
Нижневартовск,НВГУ,Прикладная математика и информатика,01.03.02,"математика, русский, информатика/физика",177,40,40,44,39,0,0,0,0,0,0,0,"Направление готовит специалистов, способных решать сложные задачи на стыке науки и технологий, используя глубокие математические знания и передовые компьютерные навыки. Выпускники смогут построить успешную карьеру в IT-индустрии, научных исследованиях, анализе данных и многих других перспективных областях.",https://nvsu.ru/files/editor/medium/5/43821_607a6554.jpg,https://i.vuzopedia.ru/storage/app/resources/resize/0_400_0_0_auto/img_56d0fb60222e458fb4f6e75d81d4c1f3.jpg,https://nvsu.ru/,https://abiturient.nvsu.ru/napravleniya-podgotovki/show81/
Нижневартовск,НВГУ,Электроэнергетика и электротехника,13.03.02,"русский, математика, физика/информатика",175,40,40,44,39,0,0,0,0,0,0,0,"Программа готовит инженеров-электриков, инженеров-энергетиков и инженеров-электротехников, которые будут ответственны за эффективное и безопасное использование электрической энергии в различных секторах, от промышленности до жилищного хозяйства.",https://nvsu.ru/files/editor/medium/5/43823_607a6894.jpg,https://i.vuzopedia.ru/storage/app/resources/resize/0_400_0_0_auto/img_d5226037237aa7a18cec483ae93f5d97.jpg,https://nvsu.ru/,https://abiturient.nvsu.ru/napravleniya-podgotovki/show49/
Нижневартовск,НВГУ,Техносферная безопасность,20.03.01,"математика, русский, информатика/физика",170,40,40,44,39,0,0,0,0,0,0,0,"Направление готовит готовит специалистов, способных осуществлять анализ и оценку рисков, разрабатывать и внедрять меры по обеспечению безопасности на предприятиях, в организациях и в жизненной среде, занимающихся минимизацией техногенного воздействия деятельности человека на природную среду.",https://upload.wikimedia.org/wikipedia/commons/c/c3/%D0%93%D0%BB%D0%B0%D0%B2%D0%BD%D1%8B%D0%B9_%D0%BA%D0%BE%D1%80%D0%BF%D1%83%D1%81_%D0%9D%D0%92%D0%93%D0%A3.jpg,https://i.vuzopedia.ru/storage/app/resources/resize/0_400_0_0_auto/img_65eaac9062fe7961836b94707fcf3218.jpg,https://nvsu.ru/,https://abiturient.nvsu.ru/napravleniya-podgotovki/show69/
Нижневартовск,НВГУ,Нефтегазовое дело,21.03.01,"математика. русский, информатика/химия/физика",204,40,40,44,39,0,39,0,0,0,0,0,"Направление готовит инженеров, способных участвовать в разработке месторождений, проектировании и эксплуатации нефтегазового оборудования и систем, а также в анализе и управлении проектами в нефтегазовой отрасли.",https://sun9-40.userapi.com/c536132/u14442105/d8/-3/o_a49b1e466f.jpg,https://i.vuzopedia.ru/storage/app/uploads/public/697/8d8/0cc/6978d80ccbda9055149189.jpg,https://nvsu.ru/,https://abiturient.nvsu.ru/napravleniya-podgotovki/show221/
Нижневартовск,НВГУ,Менеджмент,38.03.02,"математика, русский, иностранный/общество",120,40,40,0,0,0,0,30,0,0,0,45,"Направление готовит специалистов для управленческой деятельности в коммерческих и государственных организациях, предпринимателей, реализующих собственные бизнес-проекты.",https://static-pano.maps.yandex.ru/v1/?panoid=1530382370_614264507_23_1751537325&size=500%2C240&azimuth=147.9&tilt=10&api_key=maps&signature=FbDnNOJ8O3UniUUw2IV0iPXZJdbecP3zlmS61K8bzw4=,https://i.vuzopedia.ru/storage/app/resources/resize/0_400_0_0_auto/img_6f956fd8dfb87f94d99af7fa38534a23.jpg,https://nvsu.ru/,https://abiturient.nvsu.ru/napravleniya-podgotovki/show213/
Сургут,СурГПУ,Социальная работа,39.03.02,"общество, русский, история/литература",137,0,40,0,0,0,0,0,0,40,35,42,"Направление готовит социальных работников для оказания индивидуальной помощи человеку, семье или группе лиц, попавшим в трудную жизненную ситуацию.",https://i.vuzopedia.ru/storage/app/uploads/public/64d/38c/a48/64d38ca48d637660705621.jpg,https://i.vuzopedia.ru/storage/app/resources/resize/0_400_0_0_auto/img_a0dd44d6145846a9605a595edf0f2b40.jpg,https://www.surgpu.ru/,https://www.surgpu.ru/sveden/education/b-30-sotsialnaya-rabota/
Сургут,СурГПУ,Гостиничное дело,43.03.03,"общество, русский, иностранны/история",153,0,40,0,0,0,0,30,0,0,35,42,"Направление готовит управляющих гостиницами, администраторов, менеджеров по работе с клиентами, специалистов по бронированию и размещению, а также менеджеров по маркетингу и продажам в сфере гостиничного бизнеса.",https://www.stribuna.ru/upload/resize_cache/iblock/579/768_512_1/5k3a5fqkwgty42unr10sfa6scm3uiap0.jpg,https://i.vuzopedia.ru/storage/app/resources/resize/820_0_0_0_auto/img_2fe50c1acb4a7803c6ea07d77aec936f.jpg,https://www.surgpu.ru/,https://www.surgpu.ru/sveden/employees/program/b-28-gostinichnoe-delo/
Сургут,СурГПУ,Социально-культурная деятельность,51.03.03,"общество, русский, история/литература",124,0,40,0,0,0,0,0,0,40,35,42,"Направление готовит специалистов, способных разрабатывать, организовывать и реализовывать культурные проекты, проводить мероприятия различного масштаба — от местных до международных, а также управлять различными культурными учреждениями.",https://iro86.ru/media/k2/items/cache/155f6f904117638990d942a16d836b7f_XL.jpg,https://i.vuzopedia.ru/storage/app/resources/resize/500_0_0_0_crop/img_d5df93275174cde36c0018b7fb13f4fe.jpg,https://www.surgpu.ru/,https://www.surgpu.ru/abitur/specialties/51-03-03-sotsialno-kulturnaya-deyatelnost-napravlennost-menedzhment-sotsialno-kulturnoy-deyatelnosti/
Сургут,СурГПУ,Документоведение и архивоведение,46.03.02,"история, русский, иностранный/общество",168,0,40,0,0,0,0,30,0,0,35,42,"Направление готовит документоведов и архивистов, способных эффективно организовывать информационные ресурсы, управлять архивами и обеспечивать сохранность документов.",https://avatars.mds.yandex.net/get-altay/6119709/2a0000017f8c5b18e52f6728a80a05ea0e9a/L_height,https://i.vuzopedia.ru/storage/app/resources/resize/0_400_0_0_auto/img_669aa55e3bf103b1544fa3994ced2f4a.jpg,https://www.surgpu.ru/,https://www.surgpu.ru/sveden/education/b-17-dokumentovedenie-i-arkhivovedenie/
Сургут,СурГПУ,Организация работы с молодежью,39.03.03,"общество, русский, история/литература",127,0,40,0,0,0,0,0,0,40,35,42,"Направление готовит специалистов, способных организовывать эффективные коммуникации и взаимодействия с молодежью, разрабатывать молодежные инициативы и проекты, а также управлять молодежными программами на местном, региональном и национальном уровнях.",https://www.admsurgut.ru/files/photogallery/6246/big/%D0%B2%D1%83%D0%B71.jpg,https://i.vuzopedia.ru/storage/app/uploads/public/697/dba/2c6/697dba2c68f06556526179.jpg,https://www.surgpu.ru/,https://www.surgpu.ru/sveden/education/b-24-organizatsiya-raboty-s-molodezhyu/
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,пись,,,,,,,,,,
